model,year,transmission,mileage,fuel type,engine size,price
 Focus,2019.0,Manual,18114.0,Petrol,1.0,13998.0
 Q2,2019.0,Automatic,5731.0,Petrol,1.5,26000.0
 Q3,2015.0,Semi-Auto,57800.0,Diesel,2.0,14490.0
 Focus,2018.0,Manual,48961.0,Petrol,1.0,11000.0
 Q3,2019.0,Automatic,16001.0,Petrol,2.0,29000.0
 C Class,2018.0,Semi-Auto,12234.0,Diesel,2.0,27500.0
 C Class,2016.0,Semi-Auto,6900.0,Petrol,2.0,18799.0
 A8,2019.0,Automatic,5000.0,Diesel,3.0,50990.0
 Q7,2013.0,Automatic,48000.0,Diesel,3.0,19990.0
 Q5,2019.0,Semi-Auto,1027.0,Diesel,2.0,37900.0
 A6,2017.0,Semi-Auto,31605.0,Diesel,2.0,19655.0
 Focus,2019.0,Manual,12794.0,Diesel,1.5,15998.0
 Q2,2019.0,Semi-Auto,7901.0,Petrol,1.5,24500.0
 RS6,2015.0,Semi-Auto,41733.0,Petrol,4.0,41750.0
 Q2,2020.0,Manual,1201.0,Diesel,1.6,28900.0
 Q3,2013.0,Semi-Auto,40510.0,Diesel,2.0,13700.0
 Q2,2019.0,Semi-Auto,4165.0,Petrol,1.5,23888.0
 A5,2016.0,Automatic,31987.0,Petrol,3.0,22490.0
 Focus,2017.0,Manual,19000.0,Petrol,0.999,8990.0
 Q3,2016.0,Manual,12683.0,Petrol,1.4,17940.0
 C Class,2019.0,Semi-Auto,2838.0,Petrol,2.0,33299.0
 C Class,2019.0,Semi-Auto,11805.0,Petrol,1.5,25699.0
 Focus,2019.0,Manual,6121.0,Petrol,1.0,18491.0
 C Class,2018.0,Automatic,25833.0,32,2.0,19056.0
 A1,2016.0,Manual,23640.0,Petrol,1.4,11999.0
 A3,2017.0,Manual,21349.0,Petrol,2.0,25999.0
 Q5,2017.0,Semi-Auto,47228.0,Diesel,2.0,23500.0
 C Class,2017.0,Automatic,25449.0,32,2.1,20200.0
 Focus,2019.0,Automatic,4855.0,Diesel,2.0,22000.0
 Q5,2019.0,Semi-Auto,5593.0,Diesel,2.0,43990.0
 TT,2020.0,Semi-Auto,2301.0,Petrol,2.0,29000.0
 C Class,2014.0,Semi-Auto,61616.0,30,2.1,11133.0
 C Class,2018.0,Semi-Auto,18551.0,32,2.1,22591.0
 Q5,2014.0,Semi-Auto,35025.0,Diesel,3.0,23995.0
 C Class,2016.0,Automatic,32897.0,38,2.143,18600.0
 A5,2015.0,Semi-Auto,66500.0,Diesel,2.0,13890.0
 Q3,2016.0,Semi-Auto,35496.0,Petrol,1.4,18888.0
 Focus,2014.0,Manual,44117.0,11,1.0,6791.0
 Focus,2018.0,Manual,3037.0,Petrol,1.0,14298.0
 C Class,2014.0,Automatic,80579.0,31,2.143,13600.0
 Focus,2017.0,Semi-Auto,10672.0,Diesel,1.5,11920.0
 RS3,2019.0,Automatic,10250.0,Petrol,2.5,39000.0
 A3,2014.0,Manual,55210.0,Diesel,1.6,8400.0
 Q5,2018.0,Automatic,29169.0,Petrol,2.0,29750.0
 A3,2020.0,Semi-Auto,4433.0,Petrol,2.0,35991.0
 A4,2015.0,Semi-Auto,46877.0,Diesel,2.0,13750.0
 C Class,2019.0,Semi-Auto,3436.0,Petrol,1.5,23680.0
 C Class,2014.0,Automatic,41011.0,28,1.991,17990.0
 Focus,2018.0,Manual,13198.0,Petrol,0.999,12700.0
 Q2,2019.0,Automatic,1453.0,Petrol,1.5,23990.0
 A5,2019.0,Automatic,5000.0,Petrol,2.0,27995.0
 Focus,2019.0,Automatic,7529.0,Diesel,1.5,20285.0
 A3,2014.0,Automatic,73822.0,Diesel,2.0,11990.0
 Q3,2019.0,Manual,3457.0,Petrol,1.5,28750.0
 A1,2016.0,Manual,14946.0,Petrol,1.4,11990.0
 C Class,2019.0,Semi-Auto,9959.0,Diesel,2.0,29799.0
 Focus,2017.0,Manual,25459.0,Petrol,1.0,10900.0
 C Class,2019.0,Semi-Auto,12946.0,Diesel,2.0,23799.0
 A5,2016.0,Manual,51410.0,Diesel,2.0,16000.0
